Name,Text,Theme
WEB-ТЕХНОЛОГИИ ," Дисциплина Webтехнологии входит в базовую часть дисциплин учебного плана направления Математическое обеспечение и администрирование информационных систем  Целью преподавания дисциплины Webтехнологии является изучение основных принципов построения интернеториентированного программного обеспечения  webсервисов сайтов онлайнресурсов с использованием современных языков программирования В рамках занятий изучаются особенности используемых программных платформ рассматриваются приемы построения онлайнресурсов Студенты самостоятельно выполняют поставленные практические задачи на разработку программных модулей и сайтов с использованием языка разметки современных языков программирования системы управления базами данных что является важной составляющей эффективной реализации программного продукта  Задачи дисциплины          обучить студентов принципам построения интернеториентированных программных продуктов и основным используемым технологиям          привить студентам навыки webпрограммирования организации webсервисов и взаимодействия со сторонними сервисами          дать опыт разработки webресурсов  11  Место дисциплины модуля в структуре образовательной программы  Данная дисциплина входит в блок Б1 дисциплины модули вариативной части учебного плана Для изучения и освоения дисциплины нужны первоначальные знания из курсов информатики методов технологий языков программирования объектноориентированного программирования   12 Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля Код и наименование компетенции Код и наименование части компетенции  при наличии паспорта компетенций Планируемые результаты обучения знаниевыйфункциональный ОПК6 Способен использовать в педагогической деятельности научные основы знаний в сфере информационнокоммуникационных технологий  Знает способы организации webсервисов для составления документации Умеет выявить особенности рынка Webтехнологий  и использовать платформы для разработки программ при командной разработке ПК2 готовностью к использованию основных моделей информационных технологий и способов их применения для решения задач в предметных областях  Знает основы языка разметки языков программирования под web способы организации самостоятельных webсервисов и взаимодействия со сторонними сервисами Умеет выявить особенности языков сценария и использовать их для разработки прикладных программ применять методы и особенности языков сценария для разработки прикладных программ с использованием языков сценария ', '4  2 Структура и трудоемкость дисциплины  Таблица 1  Вид учебной работы  Всего часов Часов в семестре 4 семестр Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 70 70 Лекции 20 20 Практические занятия 50 50 Лабораторные  практические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 74 74 Вид промежуточной аттестации зачет  Зачет  3 ",WEB SQL PHP
АЛГОРИТМЫ И ТЕХНОЛОГИИ ПАРАЛЛЕЛЬНЫХ И РАСПРЕДЕЛЕННЫХ ВЫЧИСЛЕНИЙ ," Целью дисциплины Алгоритмы и технологии параллельных и распределенных вычислений является формирование у обучающихся понимания основных алгоритмов параллельных и распределённых вычислений и ведущих технологий разработки высокопроизводительных программ Задачи дисциплины   сформировать умение выстраивать и анализировать параллельные алгоритмы решения основных задач вычислительной математики   развить навыки определения технологии оптимальных решений для различных вычислительных систем  обеспечить овладение целостным представлением о сущности программирования для высокопроизводительных вычислительных систем  11Место дисциплины модуля в структуре образовательной программы Дисциплина Алгоритмы и технологии параллельных и распределенных вычислений относится к базовой части блока 1 федерального государственного образовательного стандарта высшего образования направления 020303 Математическое обеспечение и администрирование информационных систем Дисциплина Алгоритмы и технологии параллельных и распределенных вычислений опирается на материалы таких дисциплин как Объектноориентированное программирование Системное программирование Дискретная математика Методы вычислений используя знания в области объектноориентированного программирования на языках C и C и численных методов расширяя представления о сущности и методах современных технологий программирования и программного обеспечения многопроцессорных вычислительных систем  Разделы дисциплины и междисциплинарные связи с обеспечиваемыми последующими дисциплинами   пп Наименование обеспечиваемых последующих дисциплин Темы дисциплины необходимые для изучения обеспечиваемых последующих дисциплин 1 2 3 4 5 6 7 8 9 1  Информационные технологии          2 Производственная практика          3 Выполнение ВКР           12Компетенции обучающегося формируемые в результате освоения дисциплины модуля  Код и наименование компетенции  Код и наименование части компетенции  при наличии паспорта компетенций Планируемые результаты обучения  знаниевыефункциональные  ', ' ОПК3 Способен применять современные информационные технологии в том числе отечественные при создании программных продуктов и программных комплексов различного назначения  Знает тенденции развития языков и технологий параллельного программирования Умеет выбрать технологии и языки программирования для программной реализации алгоритма решения конкретной прикладной задачи ОПК6 Способен использовать в педагогической деятельности научные основы знаний в сфере информационнокоммуникационных технологий  Знает проблемы и тенденции развития рынка программного обеспечения Умеет определить методы проектирования и разработки программного обеспечения  ПК2 готовностью к использованию основных моделей информационных технологий и способов их применения для решения задач в предметных областях  Знает основные понятия параллельного программирования структуру методы и свойства классов используемых в многопоточном программировании возможные сферы их приложений при решении практических задач основы построения программ для систем с общей и распределенной памятью Умеет разрабатывать программы для решения задач прикладного характера из различных разделов прикладной математики  2 Структура и трудоемкость дисциплины модуля Таблица 1 Вид учебной работы Всего часов Часов в семестре 6 семестр Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 68 68 ', ' Лекции 32 32 Практические занятия 0 0 Лабораторные  практические занятия по подгруппам 36 36 Часы внеаудиторной работы включая самостоятельную работу обучающегося 76 76 Вид промежуточной аттестации зачет диф зачет экзамен  Зачет  3 ",ALG CPP CS MATH
АРХИТЕКТУРА КОМПЬЮТЕРА И ОПЕРАЦИОННЫЕ СИСТЕМЫ ," Учебная дисциплина Архитектура компьютера и операционные системы обеспечивает приобретение знаний и умений в соответствии с государственным образовательным стандартом Целью дисциплины Архитектура компьютера и операционные системы является обучение студентов основам ЭВМ процессам взаимодействия и видам электронных компонентов и комплектующих составляющих операционных систем и некоторым видам сервисного программного обеспечения  Задачи дисциплины Архитектура компьютера и операционные системы  изучить принципы построения и архитектуру ЭВМ  познакомить с ЭВМ разного поколения  изучить принципы работы электронных компонентов и комплектующих ЭВМ и телекоммуникационных устройств  познакомить с архитектурой серверных систем  изучить процессы охлаждения комплектующих и сборных телекоммуникационных узлов  познакомить с основными видами отказов ЭВМ и телекоммуникационных узлов  изучить архитектуру операционных систем  изучить некоторое сервисное программное обеспечение  11 Место дисциплины модуля в структуре образовательной программы  Данная дисциплина входит в базовую часть цикла естественно  научных дисциплин блок Б1 Для освоения данной дисциплины необходимы знания и умения приобретенные обучающимися в результате освоения следующих предшествующих данной дисциплин Языки программирования Структуры и алгоритмы компьютерной обработки данных Дисциплина Архитектура компьютера и операционные системы способствует освоению дисциплины Сетевые технологии Безопасность корпоративных информационных сетей  12Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля  Код и наименование компетенции  Код и наименование части компетенции при наличии паспорта компетенций Компонент знаниевыйфункциональный ОПК3 Способен применять современные информационные технологии в том числе отечественные при создании программных продуктов и программных комплексов различного назначения  Знает архитектуру современных ЭВМ комплектующих и их принципы работы архитектуру современных операционных систем и некоторого сервисного программного обеспечения и способы их настройки Умеет сопоставлять комплектующие ЭВМ и выполнять их предварительную настройку настраивать операционные системы работать с ', ' некоторым сервисных программным обеспечением ПК1 готовностью к использованию метода системного моделирования при исследовании и проектировании программных систем  Знает основные модели информационных технологий  Умеет применять основные модели информационных технологий на практике  2 Структура и объем дисциплины Таблица 1 Вид учебной работы Всего часов  академические часы Часов в семестре академические часы  3 семестр Общий объем зач ед  час 4 4 144 144 Из них   Часы аудиторной работы всего 54 54 Лекции 20 20 Практические занятия 34 34 Лабораторныепрактические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 90 90 Вид промежуточной аттестации зачет дифзачет экзамен  Экзамен  3 ",
АРХИТЕКТУРА СИСТЕМ ОБРАБОТКИ БОЛЬШИХ ДАННЫХ ,"   Цели и задачи дисциплины  Цель дисциплины сформировать у обучающихся знания и навыки практического применения основных подходов к проектированию архитектуры вычислительных систем ориентированных на обработку больших данных Big Data  Задачи дисциплины   сформировать понимание особенностей архитектуры систем и вычислительного процесса по обработке больших объемов данных различной структуры   развить навыки применения открытых технологий создания систем обработки больших данных   обеспечить готовность использования технологий Big Data в процессе решения задач обработки информации   11 Место дисциплины в структуре основной образовательной программы Данная дисциплина входит в блок Б1 Обязательная часть В соответствии с учебным планом образовательной программы изучение данной дисциплины предусмотрено в 7 семестре и опирается на знания умения и навыки приобретенные при изучении дисциплин Методы и технологии машинного обучения Алгоритмы и технологии параллельных и распределенных вычислений расширяя представления о современных архитектурах систем Big Data и технологиях их реализации  12 Компетенции обучающегося формируемые в результате освоения данной дисциплины Код и наименование компетенции Планируемые результаты обучения знаниевыефункциональные ОПК3 Способен применять современные информационные технологии в том числе отечественные при создании программных продуктов и программных комплексов различного назначения Знает актуальные проблемы проектирования архитектуры современных вычислительных систем ориентированных на обработку больших данных основные типы архитектур систем обработки больших данных Умеет выбирать тип архитектуры для разработки распределенных вычислительных систем использовать технологии проектирования вычислительного процесса для больших данных ОПК5 Способен инсталлировать и сопровождать программное обеспечение для информационных систем и баз данных в том числе отечественного производства Знает архитектуру и назначение компонентов экосистем Apache Hadoop Apache Spark Умеет применять экосистему Apache Hadoop для распределенной обработки статичных данных применять экосистему Apache Spark для распределенной обработки потоковых данных применять технологии программной реализации вычислительного процесса для больших данных технологии и методы представления результатов вычислительного процесса для больших данных ', '  2 Структура и трудоемкость дисциплины  Таблица 1  Вид учебной работы  Всего часов Часов в семестре 7 семестр Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 66 66 Лекции 32 32 Практические занятия 34 34 Лабораторные  практические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 78 78 Вид промежуточной аттестации зачет диф зачет экзамен  Экзамен  3 ",BIGDATA Python
БЕЗОПАСНОСТЬ КОРПОРАТИВНЫХ ИНФОРМАЦИОННЫХ СЕТЕЙ ," Учебная дисциплина Безопасность корпоративных информационных сетей обеспечивает приобретение знаний и умений в соответствии с государственным образовательным стандартом Основной целью дисциплины Безопасность корпоративных информационных сетей является обучение студентов основам построения эксплуатации и администрированию сетевой инфраструктуры  Задачи дисциплины Безопасность корпоративных информационных сетей  изучить роли сетевой операционной системы Windows Server  познакомить с настройками межсетевых экранов и программируемых коммутаторов  дать представление о проводных и беспроводных сетях для объектов различного назначения и открытых зон  дать представление о администрировании межсетевых экранов и программируемых коммутаторов   познакомить с принципами администрирования проводных и беспроводных сетей  познакомить с принципами проектирования и администрирования информационных систем  11 Место дисциплины модуля в структуре образовательной программы  Данная дисциплина входит в базовую часть цикла естественно  научных дисциплин блок Б1 Для освоения данной дисциплины необходимы знания и умения приобретенные обучающимися в результате освоения следующих предшествующих данной дисциплин Архитектура компьютера и операционные системы Webтехнологии Сетевые технологии Дисциплина Безопасность корпоративных информационных сетей способствует освоению дисциплины Проект Разработка систем обработки данных в предметных областях Проект Интеллектуальные системы поддержки принятия решений  12Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля  Код и наименование компетенции  Код и наименование части компетенции при наличии паспорта компетенций Планируемые результаты обучения знаниевыефункциональные ОПК5 Способен инсталлировать и сопровождать программное обеспечение для информационных систем и баз данных в том числе отечественного производства  Знает архитектуру современных сетевых устройств и серверов общие подходы к проектированию локальновычислительных систем и сетей принципы работы коммутаторов маршрутизаторов и межсетевых экранов серверов и способы их настройки Умеет проектировать локальновычислительные сети настраивать и ', ' администрировать серверное и сетевое оборудование  проводить мониторинг и защищать компьютерные сети различных масштабов в реальном времени  ПК2 готовностью к использованию основных моделей информационных технологий и способов их применения для решения задач в предметных областях  Знает основные модели информационных технологий  Умеет применять основные модели информационных технологий на практике УК10 способен формировать нетерпимое отношение к коррупционному поведению  Знает российское законодательство в сфере информационных технологий а также антикоррупционные стандарты поведения Умеет правильно анализировать толковать и применять нормы права в сфере информационных технологий а также в сфере противодействия коррупции  2 Структура и объем дисциплины Таблица 1 Вид учебной работы Всего часов  академические часы Часов в семестре академические часы  6 семестр Общий объем зач ед  час 4 4 144 144 Из них   Часы аудиторной работы всего 68 68 Лекции 32 32 Практические занятия 36 36 Лабораторныепрактические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 76 76 Вид промежуточной аттестации зачет дифзачет экзамен  Экзамен  3 ",WEB
ДИСКРЕТНАЯ МАТЕМАТИКА И ИССЛЕДОВАНИЕ ОПЕРАЦИЙ ," Программа дисциплины ориентирована на достижение следующих целей   освоение основных знаний дискретной математики и исследования операций   развитие математического мышления и творческого потенциала личности   воспитание ответственности к профессиональной деятельности воспитание самообразования   формирование навыков применения в профессиональной деятельности математических основ информатики  формирование готовности использовать приобретенные знания в профессиональной деятельности  Исходя из целей в программе дисциплины Дискретная математика предусматриваются задачи   сформировать у обучающегося необходимый объем знаний об основах дискретной математики и исследовании операций   научить передавать результат проведённых физикоматематических и прикладных исследований в виде конкретных рекомендаций выраженных в терминах предметной области   развить навыки решения задач теоретического и прикладного характера из различных разделов дискретной математики и исследовании операций доказывать утверждения строить модели объектов и понятий   сформировать умения применять основные понятия дискретной математики и исследовании операций и свойства математических объектов используемых в этих областях формулировки утверждений методы их доказательства возможные сферы их приложений для построения компьютерных дискретноматематических моделей  11  Место дисциплины модуля в структуре образовательной программы  Данная дисциплина входит в блок Б1 Базовая часть Для её успешного изучения необходимы знания и умения приобретенные в результате освоения школьного курса математики а также некоторых разделов из математического анализа и алгебры   12 Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля Код и наименование компетенции Код и наименование части компетенции Планируемые результаты обучения   знаниевыефункциональные ОПК1 Способность применять фундаментальные знания полученные в области математики и или естественных наук и использовать их в профессиональной деятельности  Знает основные термины методологию и особенности дискретной математики и исследования операций свойства математических объектов используемых в этих областях формулировки утверждений различные методы решения прикладных задач дискретной математики   Умеет выявить типовые а также нестандартные задачи разработать метод решения поставленной задачи с использованием типовых алгоритмов решения задач дискретной математики и исследования операций  ', '4  ОПК2 Способен применять  современный математический аппарат связанный с проектированием разработкой реализацией и оценкой качества программных продуктов и программных комплексов в различных областях человеческой деятельности  Знает методы доказательства утверждений возможные сферы их приложений основы построения компьютерных дискретноматематических моделей Умеет выявить и поставить проблему строить алгоритмы решения задач и находить их решение с применением средств и методов информатики  2 Структура и трудоемкость дисциплины  Таблица 1  Вид учебной работы  Всего часов Часов в семестре 3 семестр Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 66 66 Лекции 32 32 Практические занятия 34 34 Лабораторные  практические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 78 78 Вид промежуточной аттестации экзамен  Экзамен  3 ",MATH
ДИСКРЕТНАЯ МАТЕМАТИКА ," Программа дисциплины ориентирована на достижение следующих целей   освоение основных знаний о комбинаторике теории графов булевой алгебре   развитие математического мышления и творческого потенциала личности   воспитание ответственности к профессиональной деятельности воспитание самообразования   формирование навыков применения в профессиональной деятельности математических основ информатики   формирование готовности использовать приобретенные знания в профессиональной деятельности  Исходя из целей в программе дисциплины Дискретная математика предусматриваются задачи   сформировать у обучающегося необходимый объем знаний об основах дискретной математики   научить передавать результат проведенных физикоматематических и прикладных исследований в виде конкретных рекомендаций выраженных в терминах предметной области   развить навыки решения задач теоретического и прикладного характера из различных разделов дискретной математики доказывать утверждения строить модели объектов и понятий   сформировать умения применять основные понятия дискретной математики и свойства математических объектов используемых в этих областях формулировки утверждений методы их доказательства возможные сферы их приложений для построения компьютерных дискретноматематических моделей  11  Место дисциплины модуля в структуре образовательной программы  Данная дисциплина входит в блок Б1 Базовая часть Для её успешного изучения необходимы знания и умения приобретенные в результате освоения школьного курса математики а также некоторых разделов из математического анализа и алгебры   12 Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля Код и наименование компетенции Код и наименование части компетенции Планируемые результаты обучения   знаниевыефункциональные ОПК1 Способность применять фундаментальные знания полученные в области математики и или естественных наук и использовать их в профессиональной деятельности  Знает основные термины методологию и особенности дискретных структур различные методы решения прикладных задач дискретной математики   Умеет выявить типовые а также нестандартные задачи дискретной математики разработать метод решения поставленной задачи с использованием типовых алгоритмов решения задач дискретной математики   ', '4 ОПК2 Способен применять  современный математический аппарат связанный с проектированием разработкой реализацией и оценкой качества программных продуктов и программных комплексов в различных областях человеческой деятельности  Знает этапы логику основных методов реализации соответствующих алгоритмов с помощью методов информатики  Умеет выявить и поставить проблему строить алгоритмы решения задач дискретной математики и находить их решение с применением средств и методов информатики  2 Структура и трудоемкость дисциплины  Таблица 1  Вид учебной работы  Всего часов Часов в семестре 2 семестр Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 66 66 Лекции 32 32 Практические занятия 34 34 Лабораторные  практические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 78 78 Вид промежуточной аттестации экзамен  Экзамен  3 ",MATH
ДОПОЛНИТЕЛЬНЫЕ ГЛАВЫ МАТЕМАТИЧЕСКОГО АНАЛИЗА ,"   Цель освоения дисциплины  ознакомление студентов с теоретическими основами таких разделов математического анализа как теория рядов функции нескольких переменных кратное интегрирование и криволинейные интегралы  Задачи дисциплины  формирование практических навыков работы с функциями нескольких переменных кратными и криволинейными интегралами а также с числовыми и функциональными рядами включая ряды Тейлора и Маклорена   овладение знаниями умениями и навыками из разделов фундаментального курса математического анализа на продвинутом уровне для получения дальнейшего образования в областях возможно требующих углубленной математической подготовки  развитие алгоритмической культуры логического и критического мышления на высоком уровне необходимом для будущей профессиональной деятельности студентов или последующего успешного обучения в вузе  воспитание средствами математики культуры личности понимания значимости математики для научнотехнического прогресса отношения к математике как к части общечеловеческой культуры  11 Место дисциплины модуля в структуре образовательной программы  Данная дисциплина модуль входит в блок Б1 Дисциплины модули части формируемой участниками образовательных отношений дисциплина модуль по выбору  Для освоения данной дисциплины достаточно освоения школьного курса алгебры и геометрии  12 Компетенции обучающегося формируемые в результате освоения данной дисциплины  Код и наименование компетенции  Код и наименование части компетенции  при наличии паспорта компетенций Планируемые результаты обучения   знаниевыефункциональные ОПК1 Способность применять фундаментальные знания полученные в области математики и или естественных наук и использовать их в профессиональной деятельности    Знает   основные понятия определения и свойства объектов изученных разделов математического анализа   формулировки и доказательства утверждений теорем методы их доказательства возможные их связи и приложения в других областях математического знания и дисциплинах естественнонаучного содержания Умеет  доказывать утверждения и теоремы изученных разделов математического анализа решать стандартные и нестандартные задачи   самостоятельно применять полученные ', ' навыки в других областях математического знания и дисциплинах естественнонаучного содержания  ОПК2 Способен применять  современный математический аппарат связанный с проектированием разработкой реализацией и оценкой качества программных продуктов и программных комплексов в различных областях человеческой деятельности    Знает возможности применения полученных математических знаний в практической деятельности при научных исследованиях Умеет   формулировать задачи в том числе и профессиональные на математическом языке   самостоятельно осваивать новые математические методы для использования их в учебных и научных исследованиях в дальнейшей профессиональной деятельности  2 Структура и трудоемкость дисциплины  Таблица 1  Вид учебной работы  Всего часов Часов в семестре 2 Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 66 66 Лекции 32 32 Практические занятия 34 34 Лабораторные  практические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 68 68 Вид промежуточной аттестации зачет диф зачет экзамен  Зачет  3 ",MATH
